Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST-00001,162,10,248415.16,3,5,4,12,Loyal Customers
CUST-00002,332,9,203457.77000000002,2,4,4,10,Loyal Customers
CUST-00003,46,3,96297.43000000001,4,2,2,8,Potential Loyalists
CUST-00004,35,5,118560.85,5,3,3,11,Loyal Customers
CUST-00005,433,2,7824.1900000000005,1,1,1,3,Lost / Hibernating
CUST-00006,17,25,752372.75,5,5,5,15,Champions
CUST-00007,40,4,70997.07,4,2,2,8,Potential Loyalists
CUST-00008,357,3,75626.73,2,2,2,6,At Risk
CUST-00009,5,3,64436.43,5,2,2,9,Potential Loyalists
CUST-00010,352,4,153493.9,2,2,3,7,Potential Loyalists
CUST-00011,327,2,161182.71000000002,2,1,3,6,At Risk
CUST-00012,511,2,2630.8399999999997,1,1,1,3,Lost / Hibernating
CUST-00013,126,4,125283.74,3,2,3,8,Potential Loyalists
CUST-00014,51,4,302544.33999999997,4,2,4,10,Loyal Customers
CUST-00015,22,9,406896.79000000004,5,4,5,14,Champions
CUST-00016,296,4,168428.54,2,2,3,7,Potential Loyalists
CUST-00017,1047,1,3062.57,1,1,1,3,Lost / Hibernating
CUST-00018,194,7,104182.7,2,4,3,9,Potential Loyalists
CUST-00019,2,5,224374.49,5,3,4,12,Loyal Customers
CUST-00020,41,10,293524.82999999996,4,5,4,13,Champions
CUST-00021,488,2,12384.11,1,1,1,3,Lost / Hibernating
CUST-00022,447,3,19955.09,1,2,1,4,Lost / Hibernating
CUST-00023,13,25,1098079.39,5,5,5,15,Champions
CUST-00024,804,2,281537.89,1,1,4,6,At Risk
CUST-00025,122,4,215296.23,3,2,4,9,Potential Loyalists
CUST-00026,464,3,38651.23,1,2,1,4,Lost / Hibernating
CUST-00027,194,1,893.98,2,1,1,4,Lost / Hibernating
CUST-00028,461,1,71454.04,1,1,2,4,Lost / Hibernating
CUST-00029,147,2,56212.07000000001,3,1,2,6,At Risk
CUST-00030,88,1,6986.04,3,1,1,5,At Risk
CUST-00031,185,4,40568.600000000006,3,2,2,7,Potential Loyalists
CUST-00032,10,19,748860.1,5,5,5,15,Champions
CUST-00033,174,2,38476.64,3,1,1,5,At Risk
CUST-00034,37,8,136933.23,4,4,3,11,Loyal Customers
CUST-00035,13,9,659366.88,5,4,5,14,Champions
CUST-00036,249,4,135644.31,2,2,3,7,Potential Loyalists
CUST-00037,72,7,114328.01000000001,4,4,3,11,Loyal Customers
CUST-00038,95,4,85232.09,3,2,2,7,Potential Loyalists
CUST-00039,264,4,182620.04,2,2,3,7,Potential Loyalists
CUST-00040,42,3,24795.05,4,2,1,7,Potential Loyalists
CUST-00041,16,10,331376.16000000003,5,5,4,14,Champions
CUST-00042,40,6,70836.91,4,3,2,9,Potential Loyalists
CUST-00043,67,12,523566.41000000003,4,5,5,14,Champions
CUST-00044,131,5,468768.95999999996,3,3,5,11,Loyal Customers
CUST-00045,260,2,19088.65,2,1,1,4,Lost / Hibernating
CUST-00046,113,5,15734.91,3,3,1,7,Potential Loyalists
CUST-00047,31,3,11241.39,5,2,1,8,Potential Loyalists
CUST-00048,701,1,4109.92,1,1,1,3,Lost / Hibernating
CUST-00049,624,1,196409.53,1,1,4,6,At Risk
CUST-00050,291,6,135523.93,2,3,3,8,Potential Loyalists
CUST-00051,40,21,659925.03,4,5,5,14,Champions
CUST-00052,388,8,232681.55,1,4,4,9,Potential Loyalists
CUST-00053,132,11,288755.74,3,5,4,12,Loyal Customers
CUST-00054,253,3,95758.70000000001,2,2,2,6,At Risk
